"NO","TAG","Treatment","level","rep","nov5","dec4","jan4","feb4","march2","march11","march12","avgendwt","tgain","oadg"
1,500,"GROUP",0.5,"B",585.5,662.2,686.1,757.8,766.3,810.5,803.5,801.4,215.9,1.7
2,501,"PRECISION",0.5,"",656,687.9,702.4,776.7,815.5,801.4,786.8,794,138,1.08661417322835
3,502,"GROUP",0.5,"A",619.7,660.1,700.2,758.2,797.9,806.3,800.5,803.4,183.7,1.44645669291339
4,503,"GROUP",0.5,"B",669.1,730.8,740.4,789.6,833.6,847.1,837.4,839.4,170.3,1.34094488188976
5,504,"GROUP",1,"B",579.1,654.2,710.9,793.6,834.4,863.9,856.6,861,281.9,2.21968503937008
6,506,"PRECISION",0.5,"",576.7,626.5,651.9,697.3,675.5,719.4,694.9,709.6,132.9,1.04645669291339
7,510,"PRECISION",1,"",647.6,738.1,790.2,912.5,912.8,977,910.6,949.8,302.2,2.37952755905512
8,512,"GROUP",1,"A",597,640,681.8,728,812.1,822.3,815.4,819.7,222.7,1.75354330708661
9,513,"PRECISION",1,"",607.5,665.5,691.2,779.7,788.4,822.2,791,803.6,196.1,1.54409448818898
10,514,"PRECISION",0.5,"",622.6,649,644.2,709.5,766.9,768.7,732.9,749,126.4,0.995275590551181
11,524,"GROUP",0.5,"B",764.4,814.2,878.2,959.4,960.7,1040.8,1027.8,1035.5,271.1,2.13464566929134
12,528,"PRECISION",1,"",689.4,764.3,794.7,864.5,898.7,969.4,912.8,942.6,253.2,1.99370078740158
13,531,"PRECISION",1,"",585.3,663,700.7,803.8,851.3,891.8,847.1,871.1,285.8,2.2503937007874
14,537,"PRECISION",0.5,"",636,675.8,690.1,756.9,806.5,801.5,801.4,802.2,166.2,1.30866141732283
15,540,"GROUP",0.5,"B",638,677.4,715.8,763.9,702,819,819.8,817.1,179.1,1.41023622047244
16,542,"PRECISION",1,"",640.2,721.4,745.9,840.7,839,901.6,872.3,883.8,243.6,1.91811023622047
17,543,"PRECISION",0.5,"",678.4,730.5,742.4,794.1,840.9,855.6,825.9,838.5,160.1,1.26062992125984
18,544,"PRECISION",1,"",546.8,599.1,621.6,674.6,701.4,715.4,706.6,706,159.2,1.25354330708661
19,545,"GROUP",1,"B",605.2,611.6,663.8,701.7,723.1,726.8,715,726.1,120.9,0.951968503937009
20,549,"GROUP",1,"A",657.2,706.1,749.4,807.6,861.7,868.7,877.2,872.3,215.1,1.69370078740158
21,554,"PRECISION",1,"",673,714.2,739.2,854.9,871.9,905.6,863.8,888.7,215.7,1.69842519685039
22,560,"GROUP",0.5,"A",726.9,775.9,803.3,874.4,943.8,951.7,956.7,952.3,225.4,1.7748031496063
23,561,"PRECISION",0.5,"",509.4,537.4,551.7,604.8,638.4,676.3,654.6,665.5,156.1,1.22913385826772
24,563,"GROUP",1,"B",648.2,683.8,719.4,798.2,842.1,829.4,837.8,828.9,180.7,1.42283464566929
25,566,"PRECISION",0.5,"",646.6,703.9,767.6,841.4,923,956.6,885.3,921,274.4,2.16062992125984
26,568,"GROUP",1,"B",527.2,564.7,572.8,612.2,653.8,656.3,658.2,653.7,126.5,0.996062992125985
27,569,"PRECISION",0.5,"",568.8,597.9,583.8,642.9,728.8,655,652.6,655.9,87.1,0.685826771653543
28,571,"GROUP",1,"B",754.2,818.4,867,912.8,901.9,984.1,972.6,978.8,224.6,1.76850393700788
29,574,"GROUP",1,"A",698.8,749.8,786.5,857,864.8,915.7,926.5,918.2,219.4,1.72755905511811
30,577,"PRECISION",1,"",505.6,558.4,587.4,660.6,674.5,718.4,688.1,703.4,197.8,1.55748031496063
31,578,"GROUP",0.5,"B",508,550.4,591.9,667.4,727.3,702.3,699.9,708,200,1.5748031496063
32,581,"GROUP",1,"B",636.9,678.7,721.7,789,778.3,827.2,831.6,828.9,192,1.51181102362205
33,582,"GROUP",0.5,"B",652.8,697.2,726.9,800.6,767.4,854.6,849.3,845.3,192.5,1.51574803149606
34,584,"GROUP",0.5,"A",594.2,656.1,676.7,730.1,771.8,795.5,808,799.5,205.3,1.61653543307087
35,585,"GROUP",1,"A",612,646.1,682.2,746.4,803.2,812.6,795.1,799.9,187.9,1.47952755905512
36,590,"PRECISION",0.5,"",634.3,659.3,690.9,719.1,730.1,739.4,718.2,720.9,86.6,0.681889763779528
37,592,"GROUP",0.5,"A",644.7,692.2,738,775,857,835.2,842.1,837.4,192.7,1.51732283464567
38,595,"GROUP",1,"A",516.4,556.8,604,649.9,739.3,752.1,479.4,613.6,97.1999999999999,0.765354330708661
39,597,"GROUP",0.5,"A",663.8,710.7,727.3,802.7,746.8,843.2,848.2,843.1,179.3,1.41181102362205
40,599,"PRECISION",1,"",555.8,622.2,623.3,698.5,754.2,770,750.9,760.3,204.5,1.61023622047244
41,603,"GROUP",1,"A",574.8,596.2,625.4,703.9,784.8,792.7,796.3,797.6,222.8,1.75433070866142
42,609,"PRECISION",1,"",621,672,726.3,791.1,792.9,812.9,829.2,816.1,195.1,1.53622047244094
43,612,"PRECISION",0.5,"",735.1,759,743.3,789.1,801.7,831.5,802.3,812.6,77.5,0.610236220472441
44,617,"GROUP",1,"A",493.5,519.1,573.2,621.8,627.1,674.8,671.3,669.4,175.9,1.38503937007874
45,618,"PRECISION",1,"",839.6,924.5,964.1,1073.1,1117.4,1146.9,1131.4,1137.2,297.6,2.34330708661417
46,621,"PRECISION",0.5,"",561.1,605.8,592.7,639.3,658.2,658.9,639.4,650.1,89,0.700787401574803
47,624,"PRECISION",1,"",630,712.6,785.9,871.7,913.8,959.7,924.8,939.1,309.1,2.43385826771654
48,625,"GROUP",0.5,"A",518.1,570.5,578.3,640.9,670.5,691.7,677.4,686.7,168.6,1.32755905511811
49,627,"PRECISION",1,"",597.2,634.5,688.6,736.7,758.8,793.1,754.1,775.3,178.1,1.40236220472441
50,631,"GROUP",1,"B",656.8,690.5,748.5,833,815.3,880.2,878.5,875.7,218.9,1.7236220472441
51,638,"PRECISION",1,"",563.8,617.2,660.3,724.2,725.6,781.7,733.8,759.3,195.5,1.53937007874016
52,645,"GROUP",0.5,"B",597.5,634.3,651.6,711.3,757.7,756.8,780,766.5,169,1.33070866141732
53,646,"GROUP",1,"B",499.2,543.7,597.2,650.3,663,726.1,724.9,725.2,226,1.77952755905512
54,649,"PRECISION",0.5,"",584.5,625.4,632.4,660.2,698.8,714.6,701.3,711.1,126.6,0.996850393700788
55,650,"PRECISION",0.5,"",510.2,568,559.8,593.5,608.5,631.8,626.1,626.6,116.4,0.916535433070866
56,651,"PRECISION",0.5,"",594.6,631.2,651.7,687.3,698.7,712.6,708.6,702.2,107.6,0.847244094488188
57,653,"GROUP",0.5,"A",502.3,509.8,529.7,585.7,633.5,623.4,626.1,630.1,127.8,1.00629921259843
58,655,"GROUP",1,"A",638.2,671.5,741.1,821.7,891.3,906.7,890.2,892.2,254,2
59,659,"PRECISION",0.5,"",551.9,574.8,569.7,618,626.3,637.9,631.6,635.1,83.2,0.655118110236221
60,661,"GROUP",0.5,"A",528.9,559.8,587.8,632.2,678.7,698,674.7,680.9,152,1.19685039370079
61,662,"GROUP",0.5,"B",527.7,556.2,570,632,667.8,662,661.9,656.2,128.5,1.01181102362205
62,665,"PRECISION",1,"",574.2,619.7,649.4,737.5,751.9,755.8,753.8,758.9,184.7,1.45433070866142
63,667,"PRECISION",1,"",516.3,547.5,589.7,661,709.2,722.6,708.7,718.3,202,1.59055118110236
