Grades_Offered,Student_Count_Total,Student_Count_Low_Income,Student_Count_Special_Ed,Student_Count_English_Learners,Student_Count_Black,Student_Count_Hispanic,Student_Count_White,Student_Count_Asian,Student_Count_Native_American,Student_Count_Other_Ethnicity,Student_Count_Asian_Pacific_Islander,Student_Count_Multi,Student_Count_Hawaiian_Pacific_Islander,Student_Count_Ethnicity_Not_Available,Dress_Code,Bilingual_Services,Average_ACT_School,College_Enrollment_Rate_School,Graduation_Rate_School
12-Sep,1739,1659,281,331,58,1644,12,5,6,0,0,3,0,11,N,Y,16.5,50.6,80.9
12-Sep,992,936,106,120,30,945,9,1,5,0,0,2,0,0,Y,N,21.9,85.7,90.3
12-Jul,959,692,59,2,757,175,7,1,2,0,0,7,2,8,N,N,22.5,85.1,93.4
12-Sep,523,491,117,72,331,186,2,0,0,0,0,4,0,0,Y,Y,17.5,72.7,69.9
12-Jul,2156,891,144,23,461,644,609,343,7,0,0,83,9,0,N,Y,27.9,85.2,96.2
12-Sep,2924,2713,310,324,383,2377,64,76,12,0,0,11,1,0,N,Y,17.4,65.8,76
12-Sep,223,216,64,3,215,5,1,0,1,0,0,1,0,0,N,Y,14.6,40,70.9
12-Jun,635,533,104,2,620,8,0,0,1,0,0,4,0,2,Y,N,17.2,80.4,76.3
12-Sep,474,441,117,28,356,113,1,1,2,0,0,1,0,0,Y,Y,18.5,76.9,82.4
12-Sep,245,229,89,25,196,34,6,5,1,0,0,3,0,0,N,Y,15.6,65.4,74.3
12-Sep,357,349,65,0,355,1,1,0,0,0,0,0,0,0,Y,Y,15.3,65.8,67.1
12-Sep,1339,1233,133,0,1323,12,1,0,1,0,0,2,0,0,Y,N,16.2,63.2,80.7
12-Jun,880,481,93,33,323,288,198,41,4,0,0,25,1,0,N,N,19.7,72.6,83.6
12-Sep,541,444,113,54,64,334,107,28,2,0,0,5,1,0,N,N,18.5,80.4,85.4
12-Sep,230,194,230,76,52,116,46,10,2,0,0,4,0,0,N,Y,NA,0,3.1
12-Sep,2097,1139,170,55,447,729,589,245,8,0,0,68,2,9,N,Y,22.3,79.6,87.7
12-Jul,1763,1060,109,16,1468,78,91,51,5,0,0,38,2,30,N,Y,19.2,78.3,84.6
12-Sep,132,119,53,1,129,1,1,0,1,0,0,0,0,0,Y,N,13.1,40.5,36.1
12-Sep,314,302,67,22,259,49,4,0,0,0,0,1,1,0,Y,Y,15.2,56.3,68.8
12-Mar,1329,1221,230,9,1307,8,2,0,0,0,0,4,0,8,Y,N,15.4,64.9,82.6
12-Sep,954,902,158,182,153,777,11,5,3,0,0,5,0,0,N,Y,15.9,42.6,74.3
"PK,9-12",731,703,166,206,60,658,4,0,2,0,0,0,0,7,Y,Y,15.2,37.8,65.3
12-Sep,807,772,168,9,785,16,0,1,1,0,0,3,1,0,Y,N,18.2,81.3,77.4
12-Sep,103,101,31,2,100,3,0,0,0,0,0,0,0,0,Y,Y,13.6,20.7,56.3
12-Sep,1430,1206,173,370,169,513,272,439,10,0,0,23,2,2,N,Y,17.4,66.3,72.3
12-Jun,388,335,75,8,337,39,2,4,0,0,0,4,2,0,Y,Y,17.5,81.6,85.7
12-Sep,634,522,88,79,106,498,14,3,2,0,0,4,0,7,Y,Y,20.9,77.2,85.6
12-Sep,322,262,62,0,314,4,0,0,1,0,0,3,0,0,Y,N,16.6,75,82.4
12-Sep,742,720,146,169,24,714,3,0,1,0,0,0,0,0,Y,Y,16.7,56.4,82.8
12-Sep,780,710,194,76,393,372,4,1,1,0,0,2,1,6,N,Y,14.9,54.6,75.7
12-Sep,319,265,40,20,50,223,30,5,1,0,0,6,2,2,N,Y,17.6,59.6,87.1
12-Jul,1094,1020,211,312,161,755,63,81,14,0,0,10,10,0,Y,Y,15.5,38,66.9
12-Jun,445,400,90,4,430,13,1,0,0,0,0,1,0,0,Y,N,17.3,62.3,78.1
12-Sep,271,241,68,1,270,1,0,0,0,0,0,0,0,0,Y,N,16.7,67.1,71.3
12-Sep,227,200,27,22,62,141,22,0,1,0,0,1,0,0,N,NA,15.1,18.8,0
12-Sep,248,227,38,2,243,3,0,0,0,0,0,2,0,0,Y,Y,14.7,29,49.5
12-Sep,655,580,79,55,82,552,8,5,4,0,0,4,0,0,Y,Y,21.2,84.7,92.8
12-Sep,972,855,32,16,16,913,25,7,9,0,0,2,0,0,N,Y,16.9,58.3,84.6
12-Sep,1435,1297,216,184,76,1258,79,3,13,0,0,5,1,0,Y,Y,17.7,54.9,72.2
12-Sep,307,284,85,0,302,4,0,0,1,0,0,0,0,0,Y,N,14.3,34.4,62.6
12-Sep,313,295,32,17,202,102,5,1,0,0,0,3,0,0,Y,Y,16.9,44.8,85.4
12-Sep,199,174,58,2,154,36,6,0,3,0,0,0,0,0,N,NA,NA,5.1,1.7
12-Sep,954,814,141,80,295,606,12,32,3,0,0,2,2,2,Y,Y,22.2,88,83.3
12-Sep,113,105,35,1,110,3,0,0,0,0,0,0,0,0,Y,N,14.1,35.9,57.9
12-Sep,651,568,58,4,624,18,0,1,0,0,0,8,0,0,Y,N,17.9,64.2,71
12-Sep,852,803,167,5,840,7,1,0,1,0,0,3,0,0,Y,N,15.7,47.7,53.6
12-Sep,238,222,69,72,28,206,3,0,0,0,0,1,0,0,Y,Y,14.6,41,80.9
12-Jul,4447,2191,198,27,351,1813,1567,469,18,0,6,118,12,93,Y,N,25.6,85,95.9
12-Sep,901,723,213,114,59,483,188,141,7,0,0,19,3,1,Y,Y,19.4,76.6,83.3
12-Sep,322,311,55,6,311,8,0,2,1,0,0,0,0,0,Y,N,14.8,65.5,80.6
12-Sep,455,439,124,9,439,15,0,0,1,0,0,0,0,0,N,N,14.4,43.5,71.5
12-Sep,714,641,161,290,296,243,42,118,1,0,0,8,2,4,Y,Y,15.1,51.5,64
12-Sep,283,272,55,75,30,250,2,0,1,0,0,0,0,0,Y,Y,15.6,56.6,87.5
12-Sep,370,335,96,40,190,163,12,0,1,0,0,4,0,0,N,Y,15.4,51,62.9
12-Sep,753,711,184,69,226,506,9,3,4,0,0,2,1,2,Y,Y,15.4,43.3,83.5
12-Sep,576,542,82,124,3,557,10,2,2,0,0,0,0,2,Y,NA,17.7,63,84.5
12-Sep,1949,1834,352,502,73,1566,30,241,5,0,0,6,2,26,N,Y,17.1,55.1,77.8
12-Jul,3369,1823,394,200,77,1332,1559,245,9,0,0,80,5,62,N,Y,18.9,63,85.2
K-12,672,479,104,38,370,145,87,35,2,0,0,24,0,9,N,Y,18.8,68,50
12-Sep,1778,1678,261,255,120,1610,36,4,5,0,0,3,0,0,Y,Y,17.1,56.2,82.9
12-Jun,1118,969,182,7,1080,25,0,0,0,0,0,1,1,11,Y,Y,17.9,84.2,88.1
12-Sep,1190,1128,125,152,56,1116,9,0,4,0,0,4,0,1,Y,Y,18.4,62.2,80.5
12-Jun,208,181,77,5,174,30,3,1,0,0,0,0,0,0,N,NA,NA,NA,1.3
12-Sep,1437,1155,201,247,368,607,163,250,6,0,1,30,9,3,Y,Y,18.3,59.4,81.3
12-Jul,445,415,88,146,31,402,7,0,2,0,0,1,1,1,Y,Y,15,36.2,69.8
12-Sep,509,490,119,1,503,5,0,0,0,0,0,1,0,0,Y,N,14.7,40.4,74.4
12-Sep,276,263,58,14,228,47,1,0,0,0,0,0,0,0,Y,Y,14.2,45.3,39
12-Sep,1735,1298,104,41,192,994,281,222,10,0,0,33,3,0,N,N,21.3,73.4,88.8
12-Sep,343,335,93,0,336,5,0,0,0,0,0,2,0,0,Y,N,15.8,43.8,57.7
12-Sep,1281,1133,224,224,192,934,109,29,10,0,0,4,2,1,Y,Y,16.3,47.4,71.3
12-Sep,885,842,257,11,858,19,1,0,4,0,0,3,0,0,Y,N,15.6,34.4,72.6
12-Sep,1686,1241,295,107,65,1230,351,10,18,0,0,9,2,1,N,Y,18.1,59.5,68.8
12-Sep,330,315,66,75,128,200,1,0,1,0,0,0,0,0,N,Y,14.4,21.8,68.7
12-Jun,584,533,57,82,180,317,20,54,3,0,1,9,0,0,Y,Y,20.8,72,85.2
12-Jul,1282,1119,138,3,1254,13,4,1,1,0,0,8,1,0,N,N,17.3,66.8,79.6
12-Sep,379,374,100,10,353,22,2,1,0,0,0,0,1,0,Y,N,14.5,51.1,73.4
12-Jul,1331,882,72,19,941,325,34,13,3,0,0,10,0,5,N,N,22.9,83.6,89.2
12-Sep,639,606,148,4,628,8,0,0,0,0,0,0,1,2,Y,N,15.2,55.4,57.9
12-Sep,802,750,178,204,180,591,20,7,2,0,0,1,1,0,N,Y,15.3,44.6,65.2
12-Sep,293,271,88,21,228,63,1,0,0,0,0,1,0,0,Y,Y,14.6,49.4,63.7
12-Sep,1736,1599,362,323,177,1415,94,23,7,0,0,17,3,0,N,Y,16.4,50.1,72.5
12-Sep,262,239,35,7,116,106,28,7,1,0,0,4,0,0,Y,N,18.8,61.5,86.1
12-Sep,420,403,52,49,3,413,3,1,0,0,0,0,0,0,Y,Y,18.8,58.5,94.2
12-Sep,548,512,67,6,534,13,0,0,1,0,0,0,0,0,Y,N,16.3,54.1,85.8
12-Sep,1062,470,61,7,78,316,311,209,5,0,3,46,2,92,N,N,29.5,93.4,97.8
12-Sep,723,325,132,8,297,131,267,2,7,0,0,13,3,3,N,Y,20.2,79.8,74.7
12-Sep,479,443,26,18,192,281,3,0,1,0,0,2,0,0,Y,N,18,45.7,91
12-Sep,1199,981,83,17,645,467,25,48,1,0,0,10,0,3,N,N,20.7,76.7,97.6
12-Sep,621,332,38,5,238,202,119,15,1,0,0,17,2,27,N,N,19.4,79.6,81.1
12-Sep,1072,346,48,8,118,235,465,192,4,0,0,51,7,0,N,Y,29.6,87.7,95.3
12-Sep,351,337,54,89,23,319,3,0,0,0,0,1,0,5,Y,Y,17.5,57.8,77.9
12-Sep,1866,732,126,17,259,529,669,243,6,0,1,71,14,74,N,N,26.2,87.3,91.8
12-Sep,1387,1122,230,102,127,980,186,52,10,0,0,28,4,0,N,Y,17.5,65.7,91.2
12-Sep,198,183,62,0,183,9,4,0,0,0,0,2,0,0,Y,N,15.7,61.4,66.7
12-Sep,232,224,33,1,226,4,1,0,0,0,0,1,0,0,Y,N,17.1,74.7,83.5
12-Jun,38,37,6,2,28,8,2,0,0,0,0,0,0,0,N,NA,16.7,NA,21.4
12-Sep,670,602,104,75,102,539,12,3,3,0,0,6,0,5,Y,Y,19.5,80.5,81.7
12-Sep,329,296,65,1,321,6,0,0,0,0,0,2,0,0,Y,Y,16.5,75.7,73.1
12-Sep,127,122,34,43,1,124,1,0,1,0,0,0,0,0,Y,Y,15.7,47.2,91.2
12-Sep,123,118,39,0,120,1,0,1,0,0,0,1,0,0,Y,N,13.2,46.4,39.4
12-Sep,964,804,110,66,263,646,6,38,2,0,0,4,0,5,Y,Y,21.8,88.4,86.4
12-Sep,94,87,19,0,93,1,0,0,0,0,0,0,0,0,Y,N,14.3,50.7,73.9
12-Sep,378,358,95,103,12,350,5,3,0,0,0,1,0,7,Y,Y,14.9,29.5,67.9
12-Sep,1398,1316,181,82,252,1101,27,7,7,0,0,3,1,0,N,Y,18.1,66.4,88.2
12-Sep,256,255,59,1,251,4,0,0,0,0,0,0,1,0,Y,N,14.7,41.2,58.9
12-Jun,428,406,76,0,417,5,0,0,0,0,0,3,1,2,Y,N,16.8,53.2,75.2
12-Sep,598,492,55,15,562,23,1,6,0,0,0,6,0,0,N,N,20.6,82.1,89.4
12-Sep,234,187,234,82,50,130,48,5,0,0,0,1,0,0,N,NA,NA,10.8,27.8
12-Sep,425,391,80,0,417,3,0,0,0,0,0,1,0,4,Y,N,16.3,64.3,78.6
12-Sep,95,94,49,11,75,16,3,0,0,0,0,1,0,0,Y,N,14.7,44.8,71.4
12-Sep,225,197,59,0,220,3,0,0,0,0,0,2,0,0,Y,N,16.6,74.6,64.1
12-Sep,1223,996,168,104,146,728,148,163,3,0,0,26,9,0,Y,Y,18.2,54.4,82.8
12-Sep,245,222,61,3,189,45,8,2,0,0,0,1,0,0,Y,Y,15.6,60,69.5
12-Jul,387,365,106,0,383,1,1,0,1,0,0,1,0,0,N,N,15.2,48,54.6
12-Sep,239,225,84,18,133,76,21,1,0,0,0,5,0,3,Y,Y,14.5,31.7,50
12-Sep,351,340,62,0,348,2,0,0,0,0,0,1,0,0,Y,Y,14.5,63.2,69.7
12-Sep,218,196,58,63,87,129,2,0,0,0,0,0,0,0,Y,Y,14.6,47.4,71.7
12-Sep,136,135,40,4,130,5,0,0,0,0,0,1,0,0,Y,N,14.6,31.9,62.1
12-Sep,1146,1010,161,90,377,753,4,6,2,0,0,3,1,0,Y,N,21.7,84.4,71.5
12-Sep,533,503,33,25,90,427,3,6,2,0,0,2,1,2,Y,Y,19,45.2,91.5
12-Sep,556,494,58,29,52,414,46,31,2,0,0,8,0,3,Y,N,18,63.3,87.6
