body_depth,rear_width,species
6.7,7,blue
7.7,7.4,blue
7.8,7.7,blue
7.9,8.2,blue
8,8.2,blue
9,9.8,blue
9.9,9.8,blue
9.1,10.4,blue
9.6,9.7,blue
10.5,10.3,blue
10.8,10.9,blue
11,11.4,blue
10,11.4,blue
10.2,10.9,blue
10.9,11,blue
11,11.4,blue
10.6,11,blue
10.9,11.2,blue
11.1,11.3,blue
11.1,12.1,blue
11.6,12.7,blue
11.3,13.7,blue
10.9,13.2,blue
11.5,13.4,blue
11.9,13.6,blue
12.1,13.6,blue
11.8,13.6,blue
12.6,14.5,blue
12.7,14.2,blue
11.6,14.4,blue
12.8,15.7,blue
13.3,15.4,blue
12.7,14.9,blue
13,15.2,blue
13.5,14.9,blue
12.8,14.9,blue
13.2,15.6,blue
12.6,15.1,blue
12.7,15.6,blue
13.5,16.1,blue
13.6,16,blue
14.1,16.8,blue
13.7,16.2,blue
15.8,17.8,blue
13.5,17.8,blue
13.8,16.8,blue
15.3,17.8,blue
14.2,18.6,blue
14.3,18.3,blue
15.7,20,blue
6.9,7.4,orange
8.2,9,orange
8.6,9.2,orange
9,10.1,orange
9.4,10.8,orange
9.4,11.2,orange
10.4,12.1,orange
11,12.2,orange
10.1,12,orange
11,12.2,orange
11.5,13.1,orange
10.4,13.5,orange
10.5,13.1,orange
10.7,13.3,orange
10.6,12.9,orange
10.7,12.7,orange
11.3,13.5,orange
11.3,12.8,orange
11.1,13.1,orange
11.4,14,orange
11.5,13.9,orange
11.1,13.5,orange
12.2,14.2,orange
11.8,14.7,orange
11.6,14.5,orange
12.6,15.7,orange
12.8,16.2,orange
12,15.3,orange
12.7,16.1,orange
12.5,16.7,orange
12.9,16.5,orange
13.4,17.1,orange
13.7,17.2,orange
13.4,17.7,orange
13.4,17.3,orange
13.5,17,orange
13.4,17.5,orange
13.8,17.9,orange
14.1,17.8,orange
14.4,17.9,orange
13.7,18,orange
14.4,19.6,orange
15,19.4,orange
15.5,20.9,orange
15.4,20.6,orange
14.8,20.1,orange
15.7,21.1,orange
15.8,20.5,orange
16.8,21.5,orange
15.7,21.6,orange
